schema_version,snapshot_date,source_module_label,source_module_api_name,source_field_label,source_field_api_name,source_data_type,source_usage_status,target_module_label,target_module_api_name,target_field_label,target_field_api_name,target_data_type,target_field_status,current_mapping_status,type_compatibility_status,choice_compatibility_status,review_status,metadata_verification_status
2,2026-08-14,Leads,Leads,Contact Verification,Contact_Verification_Status,picklist,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Contact Verified At,Contact_Verified_At,datetime,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Contact Verified At,Contact_Verified_At,datetime,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Contact Verified At,Contact_Verified_At,datetime,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Is Converted,Converted__s,boolean,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Is Converted,Converted__s,boolean,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Is Converted,Converted__s,boolean,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Converted Account,Converted_Account,lookup,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Converted Account,Converted_Account,lookup,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Converted Account,Converted_Account,lookup,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Converted Contact,Converted_Contact,lookup,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Converted Contact,Converted_Contact,lookup,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Converted Contact,Converted_Contact,lookup,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Converted Date Time,Converted_Date_Time,datetime,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Converted Date Time,Converted_Date_Time,datetime,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Converted Date Time,Converted_Date_Time,datetime,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Converted Deal,Converted_Deal,lookup,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Converted Deal,Converted_Deal,lookup,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
2,2026-08-14,Leads,Leads,Converted Deal,Converted_Deal,lookup,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_applicable,desired_state_not_reassessed,verified_live_read_only
