schema_version,snapshot_date,module_api_name,layout_name,layout_api_name,layout_status,section_mode,section_sequence,section_label,section_api_name,column_count,field_sequence,field_source_ordinal,field_label,layout_display_label,field_api_name,data_type,default_value_status,required_status,read_only_status,field_read_only_status,api_write_status,metadata_verification_status
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,5,Decision Maker,Lead_Information__s,2,23,24,Converted Deal,Converted Deal,Converted_Deal,lookup,not_exposed,optional,true,true,read_only,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,5,Decision Maker,Lead_Information__s,2,25,25,Record Id,Record Id,id,bigint,not_exposed,optional,true,true,read_only,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,5,Decision Maker,Lead_Information__s,2,27,26,Change Log Time,Change Log Time,Change_Log_Time__s,datetime,not_exposed,optional,true,true,read_only,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,5,Decision Maker,Lead_Information__s,2,29,27,Last Enriched Time,Last Enriched Time,Last_Enriched_Time__s,datetime,not_exposed,optional,true,true,read_only,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,6,Operational Fit,Qualification,2,1,1,Current Call Handling,Current Call Handling,Current_Call_Handling,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,6,Operational Fit,Qualification,2,2,2,Coverage Needs,Coverage Needs,Coverage_Needs,multiselectpicklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,6,Operational Fit,Qualification,2,3,3,Pain Summary,Pain Summary,Pain_Point_Summary,textarea,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,6,Operational Fit,Qualification,2,4,4,Pain Signals,Pain Signals,Pain_Signals,multiselectpicklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,6,Operational Fit,Qualification,2,5,5,After-Hours Call Band,After-Hours Call Band,After_Hours_Call_Band,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,6,Operational Fit,Qualification,2,6,6,Monthly Inbound Call Band,Monthly Inbound Call Band,Monthly_Inbound_Call_Band,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,6,Operational Fit,Qualification,2,7,7,Integration Readiness,Integration Readiness,Integration_Readiness,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,6,Operational Fit,Qualification,2,8,8,Average Job Value Band,Average Job Value Band,Average_Job_Value_Band,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,6,Operational Fit,Qualification,2,9,9,Commercial Fit,Commercial Fit,Budget_Fit,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,6,Operational Fit,Qualification,2,10,10,Target Market Fit,Target Market Fit,Target_Market_Fit,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,6,Operational Fit,Qualification,2,12,11,Timeline Fit,Timeline Fit,Timeline_Fit,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,7,Audit and Outreach,Account_Classification,2,1,1,After-Hours Audit At,After-Hours Audit At,After_Hours_Audit_At,datetime,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,7,Audit and Outreach,Account_Classification,2,2,2,After-Hours Audit Outcome,After-Hours Audit Outcome,After_Hours_Audit_Outcome,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,7,Audit and Outreach,Account_Classification,2,3,3,After-Hours Audit Notes,After-Hours Audit Notes,After_Hours_Audit_Notes,textarea,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,7,Audit and Outreach,Account_Classification,2,4,4,Last Outreach At,Last Outreach At,Last_Outreach_At,datetime,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,7,Audit and Outreach,Account_Classification,2,5,5,Last Outreach Channel,Last Outreach Channel,Last_Outreach_Channel,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,7,Audit and Outreach,Account_Classification,2,6,6,Outreach Attempt Count,Outreach Attempt Count,Outreach_Attempt_Count,integer,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,8,Provenance and Consent,Social_Media,2,1,1,Prospect Import Key,Prospect Import Key,Prospect_Import_Key,text,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,8,Provenance and Consent,Social_Media,2,2,2,Last Research Verified At,Last Research Verified At,Last_Research_Verified_At,datetime,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,8,Provenance and Consent,Social_Media,2,3,3,Research Notes,Research Notes,Research_Notes,textarea,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,8,Provenance and Consent,Social_Media,2,4,4,Communication Preference,Communication Preference,Preferred_Communication_Method,picklist,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,8,Provenance and Consent,Social_Media,2,5,5,Email Opt Out,Email Opt Out,Email_Opt_Out,boolean,not_exposed,optional,false,false,writable,verified_live_read_only
2,2026-08-14,Leads,Standard,Standard__s,active,default_create,8,Provenance and Consent,Social_Media,2,6,6,Text Opt Out,Text Opt Out,Text_Opt_Out,boolean,not_exposed,optional,false,false,writable,verified_live_read_only
