schema_version,snapshot_date,source_module_label,source_module_api_name,source_field_label,source_field_api_name,source_data_type,source_usage_status,target_module_label,target_module_api_name,target_field_label,target_field_api_name,target_data_type,target_field_status,current_mapping_status,type_compatibility_status,choice_compatibility_status,mapping_review_status,review_reason_code,metadata_verification_status
1,2026-08-05,Leads,Leads,Company Phone,Company_Phone,phone,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,company_owned,verified
1,2026-08-05,Leads,Leads,Company Phone,Company_Phone,phone,used,Accounts,Accounts,Phone,Phone,phone,existing_used,unmapped,exact,not_choice,safe_add,company_owned,verified
1,2026-08-05,Leads,Leads,Company Phone,Company_Phone,phone,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,company_owned,verified
1,2026-08-05,Leads,Leads,Contact Location Link,Contact_Location_Relationship,picklist,used,Contacts,Contacts,,,,missing,unmapped,not_applicable,not_assessed,target_creation_required,target_missing,verified
1,2026-08-05,Leads,Leads,Contact Location Link,Contact_Location_Relationship,picklist,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,person_owned,verified
1,2026-08-05,Leads,Leads,Contact Location Link,Contact_Location_Relationship,picklist,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,person_owned,verified
1,2026-08-05,Leads,Leads,Contact Source URL,Contact_Source_URL,website,used,Contacts,Contacts,,,,missing,unmapped,not_applicable,not_assessed,target_creation_required,target_missing,verified
1,2026-08-05,Leads,Leads,Contact Source URL,Contact_Source_URL,website,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,person_owned,verified
1,2026-08-05,Leads,Leads,Contact Source URL,Contact_Source_URL,website,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,person_owned,verified
1,2026-08-05,Leads,Leads,Contact Verification,Contact_Verification_Status,picklist,used,Contacts,Contacts,,,,missing,unmapped,not_applicable,not_assessed,target_creation_required,target_missing,verified
1,2026-08-05,Leads,Leads,Contact Verification,Contact_Verification_Status,picklist,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,person_owned,verified
1,2026-08-05,Leads,Leads,Contact Verification,Contact_Verification_Status,picklist,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,person_owned,verified
1,2026-08-05,Leads,Leads,Contact Verified At,Contact_Verified_At,datetime,used,Contacts,Contacts,,,,missing,unmapped,not_applicable,not_assessed,target_creation_required,target_missing,verified
1,2026-08-05,Leads,Leads,Contact Verified At,Contact_Verified_At,datetime,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,person_owned,verified
1,2026-08-05,Leads,Leads,Contact Verified At,Contact_Verified_At,datetime,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,person_owned,verified
1,2026-08-05,Leads,Leads,Is Converted,Converted__s,boolean,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Is Converted,Converted__s,boolean,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Is Converted,Converted__s,boolean,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Converted Account,Converted_Account,lookup,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Converted Account,Converted_Account,lookup,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Converted Account,Converted_Account,lookup,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Converted Contact,Converted_Contact,lookup,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Converted Contact,Converted_Contact,lookup,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Converted Contact,Converted_Contact,lookup,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Converted Date Time,Converted_Date_Time,datetime,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Converted Date Time,Converted_Date_Time,datetime,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Converted Date Time,Converted_Date_Time,datetime,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Converted Deal,Converted_Deal,lookup,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Converted Deal,Converted_Deal,lookup,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Converted Deal,Converted_Deal,lookup,used,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,system_managed,verified
1,2026-08-05,Leads,Leads,Country,Country,text,unused,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,legacy_field,verified
1,2026-08-05,Leads,Leads,Country,Country,text,unused,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,legacy_field,verified
1,2026-08-05,Leads,Leads,Country,Country,text,unused,Deals,Deals,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,legacy_field,verified
1,2026-08-05,Leads,Leads,Coverage Needs,Coverage_Needs,multiselectpicklist,used,Contacts,Contacts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,source_record_retained,verified
1,2026-08-05,Leads,Leads,Coverage Needs,Coverage_Needs,multiselectpicklist,used,Accounts,Accounts,,,,not_applicable,unmapped,not_applicable,not_assessed,intentional_unmapped,source_record_retained,verified
1,2026-08-05,Leads,Leads,Coverage Needs,Coverage_Needs,multiselectpicklist,used,Deals,Deals,Coverage Needs,Coverage_Needs,multiselectpicklist,existing_used,unmapped,exact,exact,safe_add,deal_owned,verified
